-1.0 	 0.5013 	 0.708 	 5.862 	 6.57
-1.0 	 0.5013 	 0.554 	 -1.124 	 -0.57
-1.0 	 0.5013 	 0.532 	 -3.066 	 -2.535
-1.0 	 0.5013 	 0.564 	 -2.181 	 -1.617
-1.0 	 0.5013 	 0.562 	 -3.173 	 -2.611
-1.0 	 0.5013 	 0.497 	 -2.705 	 -2.208
-1.0 	 0.5013 	 0.451 	 -1.719 	 -1.268
-1.0 	 0.5013 	 0.494 	 -1.355 	 -0.861
-1.0 	 0.5013 	 1.073 	 8.742 	 9.816
-1.0 	 0.5013 	 0.385 	 -1.457 	 -1.072
-1.0 	 0.5013 	 0.468 	 -1.37 	 -0.902
-1.0 	 0.5013 	 0.503 	 -2.694 	 -2.192
-1.0 	 0.5013 	 0.439 	 -0.568 	 -0.13
-1.0 	 0.5013 	 0.472 	 -0.825 	 -0.353
-1.0 	 0.5013 	 0.533 	 -3.801 	 -3.268
-1.0 	 0.5013 	 0.572 	 2.026 	 2.598
-1.0 	 0.5013 	 0.414 	 -1.864 	 -1.449
-1.0 	 0.5013 	 0.708 	 -0.12 	 0.588
-1.0 	 0.5013 	 0.419 	 -1.893 	 -1.474
-1.0 	 0.5013 	 0.6 	 3.671 	 4.271
-1.0 	 0.5013 	 0.595 	 -3.75 	 -3.156
-1.0 	 0.5013 	 0.633 	 -4.1 	 -3.467
-1.0 	 0.5013 	 0.467 	 -3.165 	 -2.698
-1.0 	 0.5013 	 0.735 	 1.4 	 2.135
-1.0 	 0.5013 	 0.516 	 0.21 	 0.726
-1.0 	 0.5013 	 0.509 	 -2.659 	 -2.15
-1.0 	 0.5013 	 0.454 	 -0.636 	 -0.182
-1.0 	 0.5013 	 0.462 	 -1.468 	 -1.006
-1.0 	 0.5013 	 0.381 	 3.854 	 4.235
-1.0 	 0.5013 	 0.242 	 -0.958 	 -0.717
-1.0 	 0.5013 	 0.409 	 3.115 	 3.524
-1.0 	 0.5013 	 0.646 	 2.844 	 3.49
-1.0 	 0.5013 	 0.263 	 -0.971 	 -0.708
-1.0 	 0.5013 	 0.206 	 -1.587 	 -1.381
-1.0 	 0.5013 	 0.547 	 -0.982 	 -0.435
-1.0 	 0.5013 	 0.198 	 -0.916 	 -0.718
-1.0 	 0.5013 	 0.216 	 -0.361 	 -0.145
-1.0 	 0.5013 	 0.253 	 -1.484 	 -1.231
-1.0 	 0.5013 	 0.259 	 1.833 	 2.093
-1.0 	 0.5013 	 1.295 	 10.277 	 11.572
-1.0 	 0.5013 	 0.455 	 0.318 	 0.774
-1.0 	 0.5013 	 0.327 	 -3.904 	 -3.578
-1.0 	 0.5013 	 0.403 	 -3.297 	 -2.895
-1.0 	 0.5013 	 0.645 	 -4.405 	 -3.76
-1.0 	 0.5013 	 0.638 	 -4.115 	 -3.478
-1.0 	 0.5013 	 0.628 	 -3.611 	 -2.983
-1.0 	 0.5013 	 0.607 	 -3.083 	 -2.476
-1.0 	 0.5013 	 0.611 	 -2.598 	 -1.987
-1.0 	 0.5013 	 0.6 	 -3.171 	 -2.571
-1.0 	 0.5013 	 0.571 	 -2.725 	 -2.154
-1.0 	 0.5013 	 0.595 	 -2.504 	 -1.909
-1.0 	 0.5013 	 0.612 	 0.166 	 0.777
-1.0 	 0.5013 	 0.711 	 5.877 	 6.588
-1.0 	 0.5013 	 0.591 	 -2.304 	 -1.714
-1.0 	 0.5013 	 0.604 	 -2.652 	 -2.048
-1.0 	 0.5013 	 0.622 	 -4.31 	 -3.689
-1.0 	 0.5013 	 0.634 	 -3.981 	 -3.347
-0.98 	 0.5013 	 0.679 	 3.305 	 3.983
-0.9802 	 0.5013 	 0.61 	 -4.087 	 -3.477
-0.980398 	 0.5013 	 0.58 	 -2.888 	 -2.309
-0.98059402 	 0.5013 	 0.522 	 -1.973 	 -1.451
-0.9807880797999999 	 0.5013 	 0.574 	 -2.438 	 -1.864
-0.980980199002 	 0.5013 	 0.489 	 -1.823 	 -1.334
-0.98117039701198 	 0.5013 	 0.544 	 -2.528 	 -1.984
-0.9813586930418602 	 0.5013 	 0.478 	 -0.819 	 -0.34
-0.9815451061114416 	 0.5013 	 0.365 	 -2.415 	 -2.05
-0.9817296550503272 	 0.5013 	 0.634 	 3.529 	 4.163
-0.981912358499824 	 0.5013 	 0.307 	 -1.736 	 -1.429
-0.9820932349148257 	 0.5013 	 0.51 	 0.144 	 0.654
-0.9822723025656774 	 0.5013 	 0.597 	 3.141 	 3.738
-0.9824495795400207 	 0.5013 	 0.349 	 -3.086 	 -2.737
-0.9826250837446204 	 0.5013 	 0.686 	 1.183 	 1.869
-0.9827988329071742 	 0.5013 	 0.253 	 -2.224 	 -1.971
